Label,clean_text,String,encoded_label,is_toxic
Non-bullying,kaka tidur yaa sudah pagi tidak boleh capek2,"""Kaka tidur yaa, udah pagi, gaboleh capek2""",1.0,False
Non-bullying,makan nasi padang saja badannya,"""makan nasi padang aja begini badannya""",1.0,False
Bullying,suka cukur jembut manggung,"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""",0.0,True
Non-bullying,hai kak isyana ngefans sekali kak isyana suka lagu kak isyana lagu didalam jiwa,"""Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa""",1.0,False
Non-bullying,manusia bidadari sih herann deh cantik,"""Manusia apa bidadari sih herann deh cantik terus ????""",1.0,False
Bullying,ayu kinantii isyan sekarang berubah ya baju nya nakal,"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",0.0,False
Non-bullying,gemesnya isyan mirip tango berlapis lapis ciaaaa,"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""",1.0,False
Bullying,jelek saja anaknya ayahnya cakep2,"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""",0.0,False
Bullying,anaknya mirip sudah tua begitu ya mukanya kartu keluarga tasya,"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",0.0,False
Bullying,muka anak nya ko tua sekali yaa tidak ngegemesin tidak lucu2nya,"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",0.0,False
Bullying,muka nya muka kolot wkwk muka bayi2 lucu begitu,"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""",0.0,False
Bullying,sudah gila orang wkwk sudah jomblo psikolog tidak laku ya,"""Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu""",0.0,True
Bullying,kamu sintingnya sudah tingkat dewa,"""Lo sintingnya udah tingkat dewa""",0.0,False
Bullying,lutfi putus dengan salsa orang stress,"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",0.0,False
Bullying,anak tolol aktif ya bund,"""ANAK TOLOL INI MULAI AKTIF YA BUND""",0.0,True
Bullying,mati saja tidak gedeg saya liat kamu anjim,"""bisa mati aja ga? gedeg gua liat lu. ANJIM""",0.0,False
Bullying,woy lutfi asu sok asyik kamu anjing,"""Woy Lutfi asu , sok asik Lo ANJING !""",0.0,True
Bullying,apasih kontol bertengkar saja ayo bngst lutfiagizal,"""Apasih kontol berantem aja lah ayo bngst @lutfiagizal""",0.0,True
Bullying,pelakor plus hamil nikah ya pantas anaknya seperti gini modelannya,"""Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya""",0.0,False
Bullying,anaknya sudah pintar maknya kelempengan berasa baby tingginya azka saja melebihi mamanya,"""Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..""",0.0,False
Non-bullying,anak yang cerdas terbentuk dari pola asuh pola didik orangtua yang cerdas sih saranya sesimple,"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""",1.0,False
Non-bullying,iri motivasi,"""Setengah iri setengah jadi motivasi ini""",1.0,False
Bullying,hancur hidup kamu sumpah,"""Ancur hidup lu kalau sama dia? Sumpah..""",0.0,False
Bullying,seram sekali muka kamu mel mirip ayam potong merah sekali,"""serem banget muka lo mel kayak ayam potong merah banget""",0.0,False
Non-bullying,yaudah jadi pengusaha kuliner saja tidak usah artis makanannya memang bikin ngiler sih wkwkw,"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw""",1.0,False
Non-bullying,memang cocoknya pengusaha kuliner sudah fixs semoha lancat terusssss,"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss""",1.0,False
Bullying,sejelek image owner ya artis ups artis hallo langsung orang tahu image kamu jelek gentong,"""Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!""",0.0,False
Bullying,sih tidak hidupnya,"""Apaan sih gak jelas hidupnya""",0.0,False
Bullying,unfoll bilang najissss,"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""",0.0,False
Bullying,muka kamu sensual norak sudah,"""muka lu sensual tapi norak kenapa dah""",0.0,False
Non-bullying,sudah tidak jaman ngebully orang hey netizen mending ngaca kekurangan,"""Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri""",1.0,False
Non-bullying,pas penempatannya sebenarnya imut sekali loh mel,"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""",1.0,False
Bullying,cakap kaga jelek iya hahah,"""Cakep kaga jelek iya HAHAH""",0.0,False
Bullying,jari jari kaki mirip jarinya tukang panggul,"""jari jari kaki kayak jarinya tukang panggul""",0.0,False
Bullying,kakinya kek hamil tua ya bun kaki gajah ayuugsia,"""Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia""",0.0,False
Non-bullying,suka heran yang ngehina fisik benar ya pendosa,"""Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,""",1.0,False
Bullying,diedit biar langsing mah kalau live bomber badannya,"""Ini diedit biar langsing padahal mah klo live bomber badannya""",0.0,False
Bullying,kakinya gedong sayyy kek kaki jantan upp suka berbaur ama warwerwor mahluk astral yang kakinya gedong,"""Kakinya gedong sayyy kek kaki jantan? Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong""",0.0,False
Non-bullying,bagusan foto pakai masker daripada tidak pakai masker,"""Bagusan foto pakai masker drpd gak pakai masker""",1.0,False
Bullying,rosameldianti_ kakak foto memeknya kelihatan tebal memeknya kakak bengkak yah,"""@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???""",0.0,False
Bullying,bra nya kedodoran kak pakai ukuran gede yaa,"""Bra nya kedodoran kak make ukuran gede yaa""",0.0,False
Non-bullying,cantik senang usahanya membuahkan hasil semangat ya mel semoga pribadi,"""Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi""",1.0,False
Bullying,mba tidak sih tidak merem melek begitu matanya kaya orang cacingan,"""mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan""",0.0,False
Non-bullying,semoga lancar usahanya mel,"""Semoga lancar terus usahanya mel""",1.0,False
Non-bullying,cantik sekali kalau meldi muka natural kek gini,"""Cantik banget kalo meldi muka natural kek gini""",1.0,False
Non-bullying,kamu diam saja cantik mel kalau tidak gaya serius,"""Lu diem aja cantik mel kalo ga banyak gaya serius""",1.0,False
Bullying,kaku kek kanebo kering hahaha,"""Kaku kek kanebo kering hahaha""",0.0,False
Non-bullying,glowing say natural mirip gini bagus tambahin prestasi nya ya say,"""Semakin glowing say? natural kayak gini bagus tambahin prestasi nya ya say""",1.0,False
Bullying,meldi emaknya buka klinik totok aura kayaknya anaknya tidak ditotok ya auranya tidak kelihatan yang butek,"""Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya? auranya gak keliatan yg ada malah butek""",0.0,False
Bullying,muka kamu pasaran mel pasar sapi noh,"""Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh""",0.0,False
Bullying,maaf saya nyamain kamu dugong memang,"""Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip""",0.0,False
Bullying,iya kamu monyet mel,"""Iya lo kamu mirip monyet mel""",0.0,True
Bullying,bagusan pantat panci aing atuh anjir,"""Bagusan pantat panci aing atuh anjir""",0.0,True
Bullying,ya memang tidak muka muka badak muka beton tidak malu,"""Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,""",0.0,False
Non-bullying,mbak meldi cantik ya rahasianya,"""Kok mbak meldi sekarang tambah cantik ya rahasianya apa..""",1.0,False
Bullying,lengannya gempal sekali sih haha,"""Lengannya gempal banget sih HAHA""",0.0,False
Non-bullying,fix komen nyela,"""Fix yang komen semua nyela""",1.0,False
Non-bullying,sudah ka tidak usah digubris tidak usah dipikirin bersyukur saja nikmat tuhan sudah dikasih kaka tidak usah ngatain orang ka tetap bersyukur nikmatnya,"""Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya""",1.0,False
Bullying,jari jari nya gede gede sekali pas ngiklan makan ikan danau hambar jarinya mirip jempol hawak benar,"""Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener""",0.0,False
Bullying,disamain muka rosameldianti_ orang oi mintanya disamain babi,"""Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi""",0.0,True
Non-bullying,tidak dibawah meldi setara kekurangan kelebihan,"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",1.0,False
Non-bullying,ka mel tidak usah merendahkan orang bersyukur saja diatas langit langit,"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",1.0,False
Bullying,mukanya tidak dibantu kamera dekil kumel,"""Mukanya kalau gak dibantu kamera dekil dan kumel""",0.0,False
Non-bullying,wanita cantik suka ah,"""Semua wanita cantik, jangan suka merasa lebih ah""",1.0,False
Bullying,meldi sudah kontrak endorse skincare ya mukanya jelek si,"""Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?""",0.0,False
Non-bullying,gila netizen sempurna ngehina orang,"""Gila Netizen pada sempurna ngehina orang terus""",1.0,True
Bullying,sudah ngembang habis cowok meldi enak ya otak atik,"""Semua dah pada ngembang? habis di berapa cowo meldi?... enak ya di otak atik""",0.0,False
Bullying,muka mirip kamu pasaran murah,"""Karena muka kayak elo pasaran dan murah?""",0.0,False
Bullying,muka buluk kepedean muka sudah tua,"""Muka buluk kepedean lagi.. muka udah tua""",0.0,False
Bullying,muka kamu kaya tai wkwkwk,"""Muka lu kaya tai wkwkwk""",0.0,True
Bullying,sakit jiwa upil gajah kasihan,"""Sakit jiwa ini upil gajah? Kasihan""",0.0,False
Bullying,jelek buntut kuali hahaha,"""Jelek macam buntut kuali hahaha""",0.0,False
Non-bullying,meldi kurusan ya cantik pakai up,"""Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up?""",1.0,False
Non-bullying,elu semoga semakinlebih akhlak etikanya,"""Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya""",1.0,False
Non-bullying,mbak mell sehat sukses ya,"""Mbak mell sehat dan sukses ya""",1.0,False
Non-bullying,aamiin doa meldi,"""Aamiin. Doa baik juga untuk Meldi""",1.0,False
Non-bullying,selamat mbak semoga pribadi amin,"""Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin""",1.0,False
Non-bullying,meldi cantik loh tinggal dibenerin akhlak adabnya sip,"""Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip""",1.0,False
Bullying,pengambilan fotonya bagus mantap keren tinggal pengambilan arwah nya saja,"""Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum""",0.0,False
Bullying,tidak cantik cantik nya hahaha,"""Nggak ada cantik-cantik nya hahaha""",0.0,False
Bullying,kasihan editornya sih nanggung dosa sekali kayaknya ngeditnya offside gini,"""Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini""",0.0,False
Non-bullying,dewi persik ya,"""Lama lama mirip dewi persik ya""",1.0,False
Non-bullying,julid meldi tidak nyusahin,"""pada julid padahal kan meldi gak nyusahin kalian""",1.0,False
Bullying,foto w masukin museum saja ya tidak pantas2nya,"""ini foto apa w masukin museum aja ya ga ada pantas2nya""",0.0,False
Bullying,tidak ngumpul bareng mami isa gembrot disana,"""Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana""",0.0,True
Bullying,lagu kamu tidak laku ya mel,"""Lagu lu ga ada yang laku ya mel??""",0.0,False
Bullying,lututnya hitam gosok maning biar cling cantik,"""Lututnya masih hitam gosok maning biar tambah cling dan cantik""",0.0,False
Non-bullying,suka heran warga 62 sukanya ngehujat orang terus pahala tidak dosa mah iya,"""Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya""",1.0,False
Non-bullying,cantik saja rosa meldianti,"""Tambah cantik aja rosa meldianti""",1.0,False
Bullying,ular dugong,"""Jadi diri sendiri, jangan jadi ular apalagi dugong""",0.0,False
Non-bullying,suka ya harmonis,"""Saya kok suka ya sama mereka harmonis""",1.0,False
Non-bullying,cantik sekali pakai baju mirip begitu,"""Cantik banget kalau pakai baju kayak gitu""",1.0,False
Non-bullying,jujur ya kalau anteng tidak cantik mel,"""Jujur ya kamu kalo anteng ga buat masalah cantik mel""",1.0,False
Bullying,cowoknya tidak cakap cakepnya,"""Cowoknya ga ada cakep cakepnya""",0.0,False
Bullying,foto tirus kalau video wariorr mukanya kek donat tidak bentuknya,"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",0.0,False
Non-bullying,sekian foto diposting cantik,"""Dari sekian banyak foto yang diposting, ini yang paling cantik""",1.0,False
Bullying,artis abal abal muka putih tangan hitam ager2 atm nya sudah isi,"""Artis abal-abal.. Muka putih tangan hitam? ager2 ATM nya udah isi berapa sekarang""",0.0,False
Bullying,muka mirip penuh tekanan sekali,"""Itu muka kayak penuh tekanan banget""",0.0,False
Bullying,rosameldianti_ cowokmu wajah nya culun cupu mirip om2,"""@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2""",0.0,True
Non-bullying,masyaallah cantik sopan anggun,"""Masyaallah cantik terlihat sopan dan anggun""",1.0,False
Bullying,kang ojek kali belang tangannya,"""Kang ojek kali belang tangannya""",0.0,False
Non-bullying,senang liat pasangan cewenya hujat 1 indonesia tetap setia menemani,"""Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin""",1.0,False
Bullying,memutuskan tumbal apartemen,"""Dia memutuskan menjadi tumbal apartment""",0.0,False
Non-bullying,cantik mel semangat dietnyaa,"""makin cantik mel, semangat dietnyaa""",1.0,False
Bullying,tangan paha haha,"""Itu tangan apa paha haha?.""",0.0,False
Non-bullying,mel kelihatan cakap,"""Mel disini kamu keliatan cakep""",1.0,False
Bullying,mukanya mirip ngeden pas boker,"""Mukanya kayak lagi ngeden pas boker""",0.0,False
Bullying,aduuh halu hhahaha lebay editan nyaa lemak ke mana lemak hahhaaa mimpi ketinggian,"""Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak? hahhaaa.. mimpi ketinggian..""",0.0,False
Non-bullying,salfok kaki cantik sekali asli,"""salfok sama kaki, tapi cantik banget asli""",1.0,False
Bullying,_dy1412 buset cantik diedit saja mba coba sudah aslinya sudah mirip buntelan kentut,"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut?""",0.0,False
Bullying,hitam putih kek kopi luwak,"""atas bawah hitam putih, kek kopi luwak""",0.0,False
Bullying,palsu badane diedit itu aslinya dimana2 lemak,"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",0.0,False
Bullying,sudah kontrak skincare tetap saja buluk mel,"""Udah dapat kontrak dari skincare ttp aja buluk mel""",0.0,False
Non-bullying,heran netizen kalau tidak suka diliat saja,"""heran sama netizen klo gk suka jangan diliat aja""",1.0,False
Non-bullying,sukses yah ka rosameldianti_ semangat,"""sukses selalu yah ka @rosameldianti_ semangat""",1.0,False
Non-bullying,jujur suka meldi suka ngehujat orang,"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",1.0,False
Bullying,sumpah aslinya muka kamu lebar mirip baskom loh mel rosameldianti_,"""sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_""",0.0,False
Non-bullying,berkarya terus meldi walo tidak yang nuntun,"""Berkarya teros meldi walo ga ada yg nuntun kamu.""",1.0,False
Bullying,astaghfirullah seram ya bun ular jelmaan makhluk halus ya bun,"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",0.0,False
Non-bullying,heran cowokpun ngebully sabar meldi,"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",1.0,False
Bullying,astaga ratu edit muka sumpah seren mirip film setan2 begitu,"""Astaga? Ratu edit muka.. Sumpah seren kayak film setan2 gitu?..""",0.0,False
Bullying,matanya mirip katarak anjir ahahah,"""Matanya kayak katarak anjir AHAHAH""",0.0,True
Bullying,caption saja copas cantumin credit dasar iblis,"""Caption aja COPAS! Cantumin credit dong, dasar iblis""",0.0,True
Non-bullying,unfoll saja dosa ngebully2,"""Unfoll aja daripada kalian dosa ngebully2 terus..""",1.0,False
Non-bullying,meldi perhatikan orang china deh cantik,"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",1.0,False
